restaurant_name,price_range_per_head,good_ratings,bad_ratings,full_address,district,cuisine,dish,written_reviews,bookmarks
B+BC Cafe (TKO Plaza) 桂花小幸 (將軍澳廣場),$51-100,665,28,"Shop 133-135, 1/F, TKO Plaza, 1 Tong Tak Street, Tseung Kwan O",Tseung Kwan O,Taiwan,Taiwanese Drink,829,13500
Little Fish (Kam Ma Building) 小魚兒 (金馬大廈),$201-400,489,9,"1/F, Kam Ma Building, 16 Cameron Road, Tsim Sha Tsui",Tsim Sha Tsui,Sichuan,Hot Pot,564,28900
Seoulmate (MONTEREY Place),$101-200,415,22,"Shop G25B-G26A, G/F, MONTEREY Place , 23 Tong Chun Street, Tseung Kwan O",Tseung Kwan O,Korean,Dessert,502,10900
Sawadee Thai 泰屋,$101-200,651,17,"2/F, 726 Nathan Road, Mong Kok",Mong Kok,Thai,Seafood,769,23000
No Money So Lonely,$101-200,419,23,"Shop 406-408, 4/F, T.O.P This is Our Place, 700 Nathan Road, Mong Kok",Mong Kok,Thai,Seafood,536,20800
Channel 3 Tapas Bar & Restaurant,$101-200,978,28,"G/F, 228 Tung Choi Street, Prince Edward",Prince Edward,Spanish,Bar,1082,13400
Paper Moon,$201-400,267,62,"Shop OTE301, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",Tsim Sha Tsui,Italian,Pizza,573,74900
Pancake House HoiHoi (Megabox),$101-200,410,17,"Shop 19-20, 1/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",Kowloon Bay,Japanese,Dessert,529,9800
E FOR EGG,$51-100,304,4,"G/F, Shing Ho Building, 19-25 Shing Ho Road, Tai Wai",Tai Wai,Korean,Coffee Shop,402,23900
Hunky Dory,$101-200,407,13,"Room 245, 2/F, Building 19W, 19 Science Park West, Hong Kong Science Park, Pak Shek Kok, Sha Tin",Sha Tin,International,Hamburger,462,7300
The Salted Pig (新城市廣場),$101-200,387,25,"Shop 702, 7/F, New Town Plaza Phase 1, 18 Sha Tin Centre Street, Sha Tin",Sha Tin,Western,,485,15400
Thaiology (Causeway Bay Plaza) 泰 (銅鑼灣廣場),$101-200,333,17,"6/F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay",Causeway Bay,Thai,,402,19400
Wingman,$101-200,391,2,"17/F, Mongkok Metro, 594-596 Nathan Road, Mong Kok",Mong Kok,Western,Wine,415,12600
MUTA Restaurant by ATUM,$101-200,409,7,"Shop B131, B1/F, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Yoshoku,475,29200
WM Café & Bar (海之戀商場),$51-100,386,23,"Shop 3094, 3/F, OP Mall, 100 Tai Ho Road, Tsuen Wan",Tsuen Wan,Western,Pizza,466,8600
Siam Noodles (Lock Road) 泰濃麵 (樂道),$51-100,492,9,"Shop A, G/F, Kar Lock Building, 7 Lock Road, Tsim Sha Tsui",Tsim Sha Tsui,Thai,,590,18200
Chicago (Tai Wo Centre) 芝加哥串燒酒場 (太和中心),$101-200,566,3,"Shop 37, G/F, Tai Wo Centre, 15 Tai Po Tai Wo Road, Tai Po",Tai Po,International,Skewer,601,7800
Taiwai Dining Room 大圍小館,$101-200,354,10,"G/F, 92 Chik Fuk Street, Tai Wai",Tai Wai,Guangdong,Hong Kong Style,437,23600
Chef's Stage Kitchen (西菁街),$201-400,526,8,"G/F., 52-56 Manhattan Plaza , 23 Sai Ching Street, Yuen Long",Yuen Long,Western,Hamburger,624,25000
GRIND SIZE,$51-100,329,5,"G/F, 10 Tung Choi Street, Mong Kok",Mong Kok,Western,All Day Breakfast,373,15700
Cocina 3 Tapas Restaurant & Bar,$201-400,958,50,"Shop G22, G/F, Olympian City 3, 1 Hoi Wang Road, Tai Kok Tsui",Tai Kok Tsui,Spanish,Bar,1130,13300
Be Leaf,$101-200,638,30,"Shop 2, G/F, King Palace Plaza, 55 King Yip Street, Kwun Tong",Kwun Tong,International,Dessert,795,29100
The Ground Kitchen,$201-400,414,5,"G/F, 47 Water Street, Sai Ying Pun, Western District",Western District,Western,All Day Breakfast,451,13400
Contrast,$51-100,333,15,"G/F, Easey Building, 512-518 Fuk Wing Street, Cheung Sha Wan",Cheung Sha Wan,Western,Coffee Shop,471,31900
Odelice! (蘭杜街),$101-200,725,40,"Shop 9, G/F, 2 Landale Street, Wan Chai",Wan Chai,French,Western,896,42300
AnyMomentCafé,$51-100,466,4,"9/F, Hanway Commercial Centre, 36 Dundas Street, Mong Kok",Mong Kok,Western,Upper-floor Cafe,504,5000
Lao Cuo Bian 老厝邊,$51-100,433,18,"G/F, 92 Ivy Street, Tai Kok Tsui",Tai Kok Tsui,Taiwan,,530,14300
Pandan Leaf Indonesian Restaurant 班蘭葉印尼餐廳,$51-100,493,5,"Shop B2, G/F, Causeway Bay Commercial Building, 1-5 Sugar Street, Causeway Bay",Causeway Bay,Indonesian,Noodles/Rice Noodles,543,16800
Goobne Chicken (The Hart),$101-200,789,24,"2/F, The HART, 4 Hart Avenue, Tsim Sha Tsui",Tsim Sha Tsui,Korean,Korean Fried Chicken,1023,58100
La Moo Moo' s Steak and Fries,$201-400,659,15,"18/F, 239 Hennessy Road, Wan Chai",Wan Chai,Australian,Western,707,17600
Chiba (Kiu Kin Building) 吃吧 (僑建大廈),$101-200,713,13,"Room 2, 2/F, Kiu Kin Building, 566-568 Nathan Road, Mong Kok",Mong Kok,Western,Wine,827,33800
SuperNormal (淘大商場),$101-200,521,3,"Shop 196-199, G/F, Phase 2, Amoy Plaza, 77 Ngau Tau Kok Road, Kowloon Bay",Kowloon Bay,Italian,Wine,568,13300
羅東肉焿番,$51-100,649,26,"Shop 5 , G/F, Kin Fai Building, 69 Fung Cheung Road, Yuen Long",Yuen Long,Taiwan,Dessert,856,22100
Master Beef (Hollywood Plaza) 牛大人台灣火鍋吃到飽 (荷李活商業中心),$101-200,416,8,"B1/F, Hollywood Plaza, 610 Nathan Road, Mong Kok",Mong Kok,Taiwan,Hot Pot,479,28700
TONO DAIKIYA 殿 大喜屋,$201-400,801,43,"1/F, 26 Kimberley Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Sushi/Sashimi,1105,85400
Almond Dessert (Champagne Building) 杏甜品 (香檳大廈),$51-100,449,11,"Shop 6, G/F, Champagne Building, 40-46 Carnarvon Road, Tsim Sha Tsui",Tsim Sha Tsui,Hong Kong Style,Dessert,533,10700
Acquasala,$201-400,317,8,"G/F & M/F, 13 Elgin Street, Soho, Central",Central,International,Dessert,355,21500
Biang Biang Noodles 露面手工拌麵料理,$51-100,399,24,"Shop A, G/F, 55 Johnston Road, Wan Chai",Wan Chai,Taiwan,Noodles/Rice Noodles,468,15000
NUTTEA (旺角中心）,Below $50,366,2,"Shop F52, 1/F, Argyle Centre, 688 Nathan Road, Mong Kok",Mong Kok,Taiwan,Taiwanese Drink,392,6200
